Rank,Goalkeeper,Defender,Midfielder,Forward
1,Daniel (38) ,Danny (124) ,arjun (142) ,Thomas (103) 
2,Justin (37) ,Siddhant (97) ,Danny (134) ,Dhananjay (96) 
3,Denis (35) ,Denis (95) ,Justin (127) ,Subham (71) 
4,Dhananjay (29) ,Daniel (92) ,Siddhant (123) ,Danny (60) 
5,Subham (28) ,Subham (89) ,Denis (114) ,Siddhant (51) 
6,Danny (28) ,arjun (65) ,Nathan (109) ,Jia Hong (44) 
7,Nathan (27) ,Bill (64) ,Thomas (104) ,arjun (40) 
8,Bill (25) ,Dhananjay (47) ,Daniel (93) ,Nathan (39) 
9,Thomas (25) ,Thomas (45) ,Jia Hong (89) ,Daniel (37) 
10,Siddhant (21) ,Nathan (43) ,Subham (77) ,Bill (26) 
11,arjun (17) ,Jia Hong (40) ,Dhananjay (75) ,Justin (18) 
12,Jia Hong (13) ,Justin (37) ,Bill (71) ,Denis (7) 
