Rank,Name,Points,Appearances,Goals,Assists,Clean Sheets,Saves,Bonus
1,Haaland,73,7,11,1,4,0,12
2,Kane,50,7,6,2,3,0,10
3,Toney,47,7,5,2,1,0,8
4,De Bruyne,45,7,1,6,3,0,6
5,Saliba,44,7,2,1,3,0,9
6,Cancelo,42,7,1,1,4,0,7
7,Rashford,40,6,3,2,2,0,6
8,Martinelli,39,7,3,1,3,0,4
9,Jesus,39,7,4,3,3,0,4
10,Bernardo,39,7,2,3,3,0,5
11,Pope,38,7,0,0,3,30,6
12,Salah,38,6,2,3,2,0,5
13,Rodrigo,38,5,4,1,1,0,5
14,Saka,37,7,1,5,3,0,1
15,Sá,37,7,0,0,3,21,3
16,Son,36,7,3,1,2,0,3
17,Trippier,35,7,1,1,3,0,4
18,Ødegaard,34,6,3,0,2,0,6
19,Sterling,34,6,3,1,1,0,4
20,Gabriel,33,7,1,0,3,0,3
21,Dier,33,7,2,0,2,0,1
22,Firmino,33,4,3,3,1,0,6
23,Foden,32,7,2,3,2,0,0
24,Kulusevski,32,7,1,3,2,0,3
25,Trossard,32,6,2,2,3,0,2
26,Luis Díaz,32,6,3,0,2,0,4
27,Gündogan,31,7,2,1,3,0,3
28,Zaha,31,5,4,0,1,0,3
29,White,29,7,0,0,4,0,3
30,Ederson,29,7,0,0,4,7,1
31,Harrison,29,6,1,3,1,0,5
32,Maddison,29,6,3,1,0,0,1
33,Henderson,29,4,0,0,1,18,5
34,Martínez,28,7,0,0,1,22,2
35,Dias,28,7,0,0,4,0,0
36,Sánchez,28,6,0,0,3,15,4
37,Mitrović,28,6,4,0,1,0,4
38,Sancho,28,6,2,0,3,0,4
39,Lloris,27,7,0,0,2,16,4
40,Emerson Royal,27,7,0,2,2,0,1
41,Perišić,27,7,0,3,2,0,3
42,Groß,27,5,1,2,3,0,3
43,Saint-Maximin,27,4,1,3,2,0,4
44,Watkins,26,7,1,2,1,0,3
45,Ramsdale,25,7,0,0,3,13,0
46,Mbeumo,24,7,2,0,1,0,2
47,Gordon,24,7,2,0,2,0,2
48,Ward-Prowse,24,7,1,1,0,0,4
49,Tielemans,23,7,1,1,0,0,2
50,Fornals,23,7,1,0,1,0,3
51,Van Dijk,23,6,1,0,2,0,0
52,Welbeck,22,6,0,3,3,0,2
53,Walker,22,6,0,0,3,0,0
54,Stones,22,6,0,2,2,0,2
55,Fernandes,22,6,1,1,2,0,2
56,Andreas,22,6,0,2,1,0,4
57,Chilwell,22,5,1,2,1,0,0
58,Rodri,21,7,0,2,3,0,0
59,De Gea,21,6,0,0,2,18,1
60,Alisson,20,6,0,0,2,12,1
61,Adams,20,5,2,0,0,0,3
62,Thiago Silva,19,6,0,1,1,0,3
63,Gomez,19,5,0,0,2,0,3
64,Davies,19,5,0,1,2,0,0
65,Zinchenko,19,3,0,1,2,0,3
66,Vardy,18,7,0,2,1,0,0
67,Antonio,18,7,1,1,1,0,0
68,Gray,18,5,1,0,1,0,2
69,Targett,18,5,0,0,2,0,2
70,Isak,18,3,2,0,1,0,4
71,Joelinton,17,7,0,1,3,0,0
72,Neto,17,7,0,0,4,0,0
73,Mendy,17,6,0,0,1,18,0
74,Varane,17,5,0,0,2,0,1
75,Buendía,16,7,1,0,0,0,2
76,Robertson,16,6,0,1,1,0,0
77,Eriksen,16,6,0,1,2,0,0
78,Eze,16,5,0,1,2,0,1
79,James,16,4,1,0,1,0,3
80,Burn,16,4,0,0,2,0,1
81,Bowen,15,7,0,0,1,0,0
82,Mings,15,5,0,0,1,0,3
83,Podence,15,5,1,0,1,0,3
84,Aït-Nouri,15,5,0,0,2,0,0
85,Lingard,15,5,0,1,2,0,0
86,Aké,15,4,0,0,2,0,1
87,Bailey,14,6,0,1,1,0,0
88,Mount,14,6,0,1,1,0,0
89,Havertz,14,6,1,0,1,0,2
90,Martínez,14,6,0,0,2,0,0
91,Barnes,14,5,1,0,0,0,0
92,Koulibaly,14,5,1,0,1,0,0
93,Schär,14,4,0,0,2,0,0
94,Sánchez,14,4,0,0,2,0,1
95,Grealish,14,3,1,0,2,0,2
96,Mac Allister,14,1,2,0,0,0,3
