Rank,Bill,Daniel,Subham,Siddhant,Danny,Thomas,Jia Hong,Denis,Dhananjay,arjun,Nathan,Justin
1,De Gea (21) ,Saliba (45) ,Cancelo (61) ,Firmino (45) ,Foden (62) ,Haaland (102) ,Salah (43) ,Gabriel (35) ,Kane (63) ,De Bruyne (59) ,Maddison (48) ,Trossard (54) 
2,Cucurella (19) ,Pope (42) ,Toney (53) ,Martinelli (43) ,Dier (39) ,Ødegaard (36) ,Mbeumo (28) ,Harrison (32) ,Jesus (47) ,Rodrigo (40) ,Lloris (40) ,Sá (41) 
3,James (19) ,Luis Díaz (36) ,Rashford (41) ,Saka (39) ,Bernardo (31) ,Ramsdale (27) ,Fornals (24) ,Kulusevski (32) ,Ederson (37) ,Saint-Maximin (28) ,Sancho (30) ,Sterling (36) 
4,Bruno Guimarães (19) ,Koulibaly (22) ,Martínez (34) ,White (34) ,Trippier (30) ,Gordon (25) ,Stones (22) ,Groß (31) ,Zaha (33) ,Thiago Silva (25) ,Welbeck (29) ,Gündogan (33) 
5,Solanke (17) ,Zinchenko (21) ,Isak (18) ,Dias (34) ,Watkins (28) ,Walker (23) ,Mahrez (21) ,Henderson (30) ,Rodri (27) ,Adams (25) ,Tielemans (28) ,Davies (25) 
6,Ward-Prowse (15) ,Antonio (19) ,Buendía (17) ,Andreas (24) ,Sánchez (28) ,Neto (18) ,Awoniyi (14) ,Perišić (29) ,Emerson Royal (25) ,Almirón (24) ,Fernandes (23) ,Vardy (24) 
7,Guedes (13) ,Trippier (19) ,Robertson (16) ,Alisson (22) ,Son (27) ,Lingard (15) ,Chilwell (13) ,Burn (24) ,Mings (21) ,Richarlison (18) ,Azpilicueta (16) ,Barnes (24) 
8,Mount (13) ,Son (17) ,Joelinton (16) ,Gray (20) ,Mitrović (26) ,Romero (13) ,Guaita (10) ,Jensen (17) ,Ayew (17) ,Mac Allister (18) ,Xhaka (16) ,Eriksen (21) 
9,Estupiñán (12) ,Podence (15) ,Martínez (13) ,Gomez (19) ,Van Dijk (21) ,Álvarez (13) ,Bowen (9) ,Aït-Nouri (17) ,Mee (13) ,Mendy (17) ,Sánchez (15) ,Cresswell (18) 
10,Bailey (11) ,Havertz (14) ,R.Sessegnon (10) ,Schär (16) ,Targett (20) ,Aaronson (11) ,Iheanacho (8) ,Jorginho (10) ,Henderson (10) ,Varane (17) ,Ings (13) ,Semedo (7) 
11,Chilwell (11) ,Bernardo (14) ,Aubameyang (9) ,A.Armstrong (11) ,Eze (18) ,Maupay (11) ,Aké (7) ,Ronaldo (7) ,Moore (9) ,Aké (15) ,Jansson (10) ,Dawson (6) 
12,Johnson (11) ,Willock (12) ,Henry (7) ,Daka (11) ,Grealish (13) ,Veltman (8) ,Antony (7) ,Bazunu (6) ,Lucas Moura (2) ,Mount (14) ,Struijk (6) ,Calvert-Lewin (0) 
13,Darwin (10) ,Fábio Vieira (10) ,Akanji (7) ,Coady (9) ,Wilson (13) ,N.Williams (5) ,Elliott (6) ,Hickey (4) ,Laporte (0) ,Bamford (9) ,Collins (6) ,
14,Elliott (8) ,Guéhi (7) ,Pulisic (5) ,Edouard (6) ,Ward-Prowse (11) ,Jiménez (5) ,Ward (4) ,Fred (2) ,Maguire (-1) ,Walker-Peters (8) ,Scamacca (5) ,
15,Almirón (7) ,Gibbs-White (7) ,Wood (3) ,Dasilva (4) ,Dalot (10) ,Fofana (4) ,Dunk (3) ,McGinn (2) ,,Kilman (6) ,Chalobah (2) ,
16,Bowen (6) ,Olise (6) ,Nketiah (2) ,Rice (4) ,Arrizabalaga (8) ,Coutinho (3) ,Lamptey (3) ,Thiago (1) ,,Dele (2) ,Kilman (1) ,
17,Paquetá (5) ,Damsgaard (4) ,Thiago (2) ,Matip (2) ,Havertz (8) ,Johnson (3) ,Tomiyasu (2) ,Diogo Jota (1) ,,Pickford (2) ,Keita (0) ,
18,Malacia (5) ,Digne (2) ,Undav (1) ,Tierney (2) ,Bruno Guimarães (7) ,Bailey (3) ,Castagne (2) ,Martial (0) ,,Shaw (0) ,Reguilón (0) ,
19,Grealish (4) ,Daka (2) ,Renan Lodi (0) ,Zouma (2) ,Højbjerg (7) ,Tierney (1) ,Smith Rowe (1) ,,,Andersen (0) ,,
20,McNeil (4) ,Broja (2) ,Sinisterra (-2) ,Leno (1) ,Tierney (6) ,Cash (1) ,Carvalho (1) ,,,Malacia (-2) ,,
21,Neto (4) ,Mitrović (2) ,,Cash (1) ,Alexander-Arnold (4) ,Doherty (1) ,Maupay (0) ,,,,,
22,Alexander-Arnold (3) ,Webster (1) ,,Mateta (1) ,Botman (3) ,,Lindelöf (0) ,,,,,
23,Van Dijk (3) ,Lingard (0) ,,Aaronson (1) ,Almirón (3) ,,,,,,,
24,Bernardo (2) ,,,Kilman (1) ,Dewsbury-Hall (2) ,,,,,,,
25,Mykolenko (1) ,,,Webster (0) ,,,,,,,,
26,Joelinton (1) ,,,De Cordova-Reid (0) ,,,,,,,,
27,R.Sessegnon (1) ,,,Lenglet (0) ,,,,,,,,
28,Dennis (1) ,,,,,,,,,,,
29,Sergio Gómez (1) ,,,,,,,,,,,
30,Tsimikas (0) ,,,,,,,,,,,
31,Botman (0) ,,,,,,,,,,,
