Rank,Bill,Daniel,Subham,Siddhant,Danny,Thomas,Jia Hong,Denis,Dhananjay,arjun,Nathan,Justin
1,Chelsea (42) ,Arsenal (76) ,Brentford (55) ,Arsenal (118) ,Man City (94) ,Man City (132) ,Liverpool (50) ,Spurs (60) ,Spurs (83) ,Man City (68) ,Leicester (73) ,Brighton (52) 
2,Man Utd (26) ,Newcastle (62) ,Man Utd (54) ,Liverpool (88) ,Newcastle (70) ,Arsenal (64) ,Man City (36) ,Arsenal (35) ,Man City (52) ,Chelsea (56) ,Man Utd (53) ,Leicester (45) 
3,Liverpool (24) ,Liverpool (36) ,Aston Villa (51) ,Everton (29) ,Spurs (61) ,Everton (36) ,West Ham (33) ,Leeds (32) ,Crystal Palace (50) ,Leeds (49) ,Spurs (45) ,Wolves (45) 
4,Southampton (15) ,Chelsea (30) ,Man City (50) ,Man City (28) ,Aston Villa (28) ,Nott'm Forest (23) ,Brentford (26) ,Nott'm Forest (30) ,Arsenal (47) ,Newcastle (44) ,Brighton (27) ,Chelsea (36) 
5,Bournemouth (13) ,West Ham (19) ,Newcastle (37) ,Fulham (25) ,Brighton (28) ,Wolves (23) ,Leicester (14) ,Brighton (29) ,Aston Villa (21) ,Southampton (33) ,Arsenal (16) ,Man City (33) 
6,Wolves (13) ,Spurs (17) ,Liverpool (18) ,Newcastle (14) ,Fulham (26) ,Leeds (11) ,Nott'm Forest (14) ,Newcastle (22) ,Brentford (13) ,Spurs (17) ,Aston Villa (13) ,West Ham (24) 
7,Brighton (12) ,Wolves (15) ,Chelsea (14) ,Southampton (11) ,Liverpool (25) ,Brighton (8) ,Chelsea (13) ,Brentford (19) ,Liverpool (10) ,Brighton (16) ,Chelsea (13) ,Man Utd (21) 
8,Newcastle (12) ,Crystal Palace (13) ,Spurs (10) ,Crystal Palace (7) ,Crystal Palace (18) ,Aston Villa (7) ,Crystal Palace (10) ,Wolves (16) ,Bournemouth (9) ,Man Utd (15) ,Brentford (10) ,Spurs (19) 
9,Nott'm Forest (12) ,Man City (11) ,Arsenal (2) ,West Ham (6) ,Southampton (11) ,Spurs (6) ,Man Utd (7) ,Chelsea (10) ,Man Utd (-1) ,Wolves (6) ,Wolves (7) ,Everton (0) 
10,Aston Villa (11) ,Nott'm Forest (7) ,Brighton (1) ,Leicester (5) ,Man Utd (10) ,Chelsea (4) ,Brighton (4) ,Man Utd (9) ,,Everton (4) ,Leeds (6) ,
11,West Ham (11) ,Brentford (3) ,Nott'm Forest (0) ,Brentford (4) ,Arsenal (6) ,,Arsenal (3) ,Southampton (6) ,,Crystal Palace (0) ,West Ham (5) ,
12,Man City (6) ,Aston Villa (2) ,Leeds (-2) ,Aston Villa (1) ,Chelsea (4) ,,Everton (0) ,Aston Villa (2) ,,,Liverpool (0) ,
13,Everton (5) ,Fulham (2) ,,Leeds (1) ,,,,Liverpool (2) ,,,,
14,Spurs (1) ,Leicester (2) ,,Wolves (1) ,,,,,,,,
15,,Brighton (1) ,,Brighton (0) ,,,,,,,,
