Rank,Name,Points,Appearances,Goals,Assists,Clean Sheets,Saves,Bonus
1,Haaland,102,9,15,3,5,0,15
2,Kane,63,9,8,2,4,0,12
3,Foden,62,9,6,4,2,0,4
4,Cancelo,61,9,2,2,5,0,10
5,De Bruyne,59,9,1,9,4,0,6
6,Trossard,54,8,5,2,3,0,5
7,Toney,53,9,6,2,2,0,8
8,Trippier,49,9,1,2,4,0,7
9,Maddison,48,8,5,2,1,0,4
10,Bernardo,47,9,2,4,4,0,5
11,Jesus,47,8,5,3,3,0,6
12,Saliba,45,8,2,1,3,0,9
13,Firmino,45,5,5,3,1,0,8
14,Son,44,9,3,2,3,0,3
15,Martinelli,43,8,3,2,3,0,4
16,Salah,43,7,2,4,2,0,5
17,Pope,42,9,0,0,3,32,6
18,Sá,41,9,0,0,3,28,3
19,Rashford,41,7,3,2,2,0,6
20,Lloris,40,9,0,0,3,26,7
21,Rodrigo,40,6,4,1,2,0,5
22,Dier,39,9,2,0,3,0,1
23,Saka,39,8,1,5,3,0,1
24,Ederson,37,9,0,0,5,12,1
25,Ødegaard,36,7,3,0,2,0,6
26,Luis Díaz,36,7,3,1,2,0,4
27,Sterling,36,7,3,1,1,0,4
28,Gabriel,35,8,1,0,3,0,3
29,White,34,8,0,1,4,0,3
30,Martínez,34,8,0,0,2,23,2
31,Dias,34,8,0,0,5,0,0
32,Almirón,34,7,3,0,2,0,3
33,Gündogan,33,8,2,1,3,0,3
34,Zaha,33,6,4,0,1,0,3
35,Harrison,32,7,1,3,2,0,5
36,Kulusevski,32,7,1,3,2,0,3
37,Groß,31,7,1,2,3,0,3
38,Sancho,30,7,2,0,3,0,4
39,Henderson,30,5,0,0,1,22,5
40,Perišić,29,9,0,3,2,0,3
41,Welbeck,29,8,0,4,3,0,2
42,Mbeumo,28,9,2,0,2,0,2
43,Tielemans,28,9,1,1,1,0,2
44,Watkins,28,8,1,2,2,0,3
45,Mitrović,28,7,4,0,1,0,4
46,Sánchez,28,6,0,0,3,15,4
47,Saint-Maximin,28,5,1,3,2,0,4
48,Ramsdale,27,8,0,0,3,15,0
49,Mount,27,8,0,3,2,0,3
50,Rodri,27,8,0,3,4,0,0
51,Ward-Prowse,26,8,1,1,0,0,4
52,Bruno Guimarães,26,5,2,1,2,0,3
53,Gordon,25,8,2,0,2,0,2
54,Emerson Royal,25,8,0,2,2,0,1
55,Thiago Silva,25,7,0,2,1,0,5
56,Adams,25,6,2,1,0,0,3
57,Davies,25,6,0,1,3,0,0
58,Vardy,24,9,0,3,2,0,0
59,Fornals,24,8,1,0,1,0,3
60,Barnes,24,7,2,0,1,0,0
61,Van Dijk,24,7,1,0,2,0,0
62,Andreas,24,7,0,2,1,0,4
63,Chilwell,24,6,1,2,1,0,0
64,Burn,24,6,0,0,3,0,1
65,Walker,23,7,0,0,3,0,0
66,Fernandes,23,7,1,1,2,0,2
67,Havertz,22,8,2,0,2,0,2
68,Alisson,22,7,0,0,2,15,1
69,Stones,22,6,0,2,2,0,2
70,Aké,22,6,0,0,3,0,1
71,Koulibaly,22,6,1,0,2,0,2
72,Mahrez,21,8,1,1,2,0,0
73,De Gea,21,7,0,0,2,21,1
74,Eriksen,21,7,0,2,2,0,0
75,Mings,21,6,0,0,2,0,3
76,Zinchenko,21,4,0,1,2,0,3
77,Targett,20,7,0,0,2,0,2
78,Gray,20,6,1,0,1,0,2
79,Antonio,19,8,1,1,1,0,0
80,Cucurella,19,7,0,2,1,0,1
81,James,19,6,1,0,1,0,3
82,Gomez,19,5,0,0,2,0,3
83,Richarlison,18,8,0,3,0,0,1
84,Neto,18,8,0,0,4,0,0
85,Cresswell,18,7,0,0,2,0,0
86,Eze,18,6,0,1,2,0,1
87,Mac Allister,18,3,2,0,0,0,3
88,Isak,18,3,2,0,1,0,4
89,Buendía,17,8,1,0,0,0,2
90,Jensen,17,7,0,1,1,0,0
91,Ayew,17,7,0,1,1,0,0
92,Joelinton,17,7,0,1,3,0,0
93,Aït-Nouri,17,7,0,0,2,0,0
94,Solanke,17,6,0,2,3,0,0
95,Mendy,17,6,0,0,1,18,0
96,Varane,17,6,0,0,2,0,1
97,Grealish,17,5,1,0,2,0,2
98,Azpilicueta,16,6,0,0,2,0,1
99,Robertson,16,6,0,1,1,0,0
100,Schär,16,5,0,0,2,0,0
101,Xhaka,16,3,1,1,1,0,2
102,Bowen,15,7,0,0,1,0,0
103,Sánchez,15,5,0,0,2,0,1
104,Podence,15,5,1,0,1,0,3
105,Lingard,15,5,0,1,2,0,0
106,Bailey,14,6,0,1,1,0,0
107,Awoniyi,14,6,1,0,1,0,1
108,Elliott,14,5,1,0,1,0,0
109,Johnson,14,5,1,0,1,0,1
110,Ings,13,7,1,0,1,0,1
111,Martínez,13,7,0,0,2,0,0
112,Mee,13,6,0,0,1,0,1
113,Daka,13,5,2,0,1,0,0
114,Romero,13,5,0,0,1,0,2
115,Guedes,13,5,0,1,2,0,1
116,Wilson,13,3,1,1,2,0,0
117,Álvarez,13,2,2,0,1,0,2
118,Aaronson,12,5,0,1,1,0,0
119,Estupiñán,12,4,0,1,1,0,1
120,Willock,12,2,0,2,0,0,2
121,A.Armstrong,11,5,0,1,0,0,0
122,R.Sessegnon,11,5,1,0,0,0,0
123,Maupay,11,2,1,0,1,0,3
124,Jorginho,10,6,0,0,0,0,0
125,Henderson,10,6,0,0,1,0,0
126,Jansson,10,5,0,0,1,0,0
127,Darwin,10,4,1,1,1,0,1
128,Guaita,10,3,0,0,1,8,0
129,Dalot,10,2,0,0,1,0,3
130,Fábio Vieira,10,1,1,0,1,0,2
131,Moore,9,6,0,0,1,0,0
132,Bamford,9,5,0,1,0,0,0
133,Tierney,9,3,0,0,1,0,0
134,Coady,9,1,1,0,0,0,1
135,Aubameyang,9,1,1,0,0,0,3
136,Iheanacho,8,5,0,1,0,0,0
137,Walker-Peters,8,5,0,0,0,0,0
138,Veltman,8,3,0,0,1,0,0
139,Kilman,8,3,0,0,1,0,0
140,Arrizabalaga,8,2,0,0,1,4,0
141,Semedo,7,7,0,0,0,0,0
142,Alexander-Arnold,7,6,0,0,0,0,1
143,Ronaldo,7,6,0,0,0,0,0
144,Henry,7,3,0,0,1,0,0
145,Guéhi,7,3,0,0,1,0,0
146,Højbjerg,7,2,0,1,0,0,0
147,Gibbs-White,7,2,0,1,0,0,0
148,Akanji,7,2,0,0,1,0,0
149,Antony,7,1,1,0,0,0,0
150,Olise,6,4,0,0,1,0,0
151,Bazunu,6,3,0,0,0,9,0
152,Edouard,6,2,0,1,0,0,0
153,Struijk,6,2,0,0,1,0,0
154,Collins,6,2,0,0,1,0,3
155,Dawson,6,1,0,0,1,0,0
156,Pulisic,5,6,0,0,0,0,0
157,N.Williams,5,6,0,1,0,0,0
158,Scamacca,5,5,0,0,1,0,0
159,Jiménez,5,3,0,0,1,0,0
160,Paquetá,5,2,0,0,1,0,0
161,Hickey,4,7,0,0,0,0,0
162,Ward,4,5,0,0,0,12,0
163,Dasilva,4,3,0,0,0,0,0
164,Fofana,4,2,0,0,0,0,0
165,Rice,4,2,0,0,1,0,0
166,McNeil,4,2,0,0,0,0,0
167,Damsgaard,4,2,0,0,1,0,0
168,Neto,4,1,0,0,0,6,0
169,Dunk,3,4,0,0,0,0,0
170,Coutinho,3,3,0,0,0,0,0
171,Lamptey,3,3,0,0,0,0,0
172,Thiago,3,2,0,0,0,0,0
173,Wood,3,2,0,0,0,0,0
174,Botman,3,2,0,0,0,0,0
175,Malacia,3,2,0,0,1,0,0
176,Tomiyasu,2,3,0,0,0,0,0
177,Digne,2,3,0,0,0,0,0
178,Castagne,2,3,0,0,0,0,0
179,Nketiah,2,2,0,0,0,0,0
180,Cash,2,2,0,0,0,0,0
181,Broja,2,2,0,0,0,0,0
182,Dele,2,2,0,0,0,0,0
183,Matip,2,2,0,0,0,0,0
184,Fred,2,2,0,0,0,0,0
185,Lucas Moura,2,2,0,0,0,0,0
186,McGinn,2,1,0,0,0,0,0
187,Chalobah,2,1,0,0,0,0,0
188,Pickford,2,1,0,0,0,5,0
189,Dewsbury-Hall,2,1,0,0,0,0,0
190,Zouma,2,1,0,0,0,0,0
191,Leno,1,1,0,0,0,1,0
192,Smith Rowe,1,1,0,0,0,0,0
193,Webster,1,1,0,0,0,0,0
194,Undav,1,1,0,0,0,0,0
195,Mateta,1,1,0,0,0,0,0
196,Mykolenko,1,1,0,0,0,0,0
197,Diogo Jota,1,1,0,0,0,0,0
198,Carvalho,1,1,0,0,0,0,0
199,Doherty,1,1,0,0,0,0,0
200,Dennis,1,1,0,0,0,0,0
201,Sergio Gómez,1,1,0,0,0,0,0
202,Tsimikas,0,1,0,0,0,0,0
203,Laporte,0,1,0,0,0,0,0
204,Shaw,0,1,0,0,0,0,0
205,Renan Lodi,0,1,0,0,0,0,0
206,Andersen,0,0,0,0,0,0,0
207,Calvert-Lewin,0,0,0,0,0,0,0
208,De Cordova-Reid,0,0,0,0,0,0,0
209,Keita,0,0,0,0,0,0,0
210,Lindelöf,0,0,0,0,0,0,0
211,Martial,0,0,0,0,0,0,0
212,Reguilón,0,0,0,0,0,0,0
213,Lenglet,0,0,0,0,0,0,0
214,Maguire,-1,3,0,0,0,0,0
215,Sinisterra,-2,1,0,0,0,0,0
