Rank,Bill,Daniel,Subham,Siddhant,Danny,Thomas,Jia Hong,Denis,Dhananjay,arjun,Nathan,Justin
1,De Gea (21) ,Saliba (45) ,Toney (48) ,Firmino (45) ,Foden (51) ,Haaland (96) ,Salah (43) ,Gabriel (35) ,Kane (56) ,De Bruyne (53) ,Maddison (47) ,Trossard (52) 
2,James (18) ,Pope (40) ,Cancelo (43) ,Martinelli (43) ,Dier (33) ,Ødegaard (36) ,Mbeumo (26) ,Harrison (32) ,Jesus (47) ,Rodrigo (40) ,Lloris (30) ,Sá (39) 
3,Ward-Prowse (15) ,Luis Díaz (36) ,Rashford (41) ,Saka (39) ,Bernardo (31) ,Ramsdale (27) ,Fornals (24) ,Kulusevski (32) ,Zaha (33) ,Saint-Maximin (27) ,Sancho (30) ,Sterling (36) 
4,Guedes (13) ,Zinchenko (21) ,Martínez (34) ,White (34) ,Trippier (30) ,Gordon (25) ,Stones (22) ,Henderson (30) ,Ederson (31) ,Thiago Silva (25) ,Welbeck (27) ,Gündogan (33) 
5,Cucurella (12) ,Antonio (19) ,Isak (18) ,Dias (28) ,Watkins (28) ,Walker (23) ,Awoniyi (14) ,Groß (29) ,Emerson Royal (25) ,Adams (25) ,Tielemans (26) ,Vardy (23) 
6,Estupiñán (12) ,Son (17) ,Buendía (17) ,Andreas (24) ,Sánchez (28) ,Neto (18) ,Mahrez (13) ,Perišić (28) ,Rodri (21) ,Richarlison (17) ,Fernandes (23) ,Barnes (22) 
7,Bailey (11) ,Podence (15) ,Robertson (16) ,Alisson (22) ,Mitrović (26) ,Lingard (15) ,Chilwell (13) ,Burn (22) ,Mings (21) ,Mendy (17) ,Xhaka (16) ,Eriksen (21) 
8,Chilwell (11) ,Havertz (14) ,Joelinton (16) ,Gray (20) ,Van Dijk (21) ,Álvarez (13) ,Guaita (10) ,Aït-Nouri (16) ,Ayew (17) ,Varane (17) ,Sánchez (15) ,Davies (19) 
9,Johnson (11) ,Koulibaly (14) ,Martínez (13) ,Gomez (19) ,Son (21) ,Aaronson (11) ,Bowen (9) ,Jensen (15) ,Mee (13) ,Almirón (17) ,Ings (13) ,Cresswell (18) 
10,Darwin (10) ,Trippier (12) ,R.Sessegnon (10) ,Schär (14) ,Targett (19) ,Maupay (11) ,Iheanacho (8) ,Jorginho (10) ,Henderson (10) ,Mac Allister (16) ,Azpilicueta (11) ,Semedo (6) 
11,Solanke (9) ,Bernardo (11) ,Aubameyang (9) ,A.Armstrong (11) ,Eze (18) ,Veltman (8) ,Antony (7) ,Ronaldo (7) ,Moore (9) ,Aké (15) ,Jansson (10) ,Dawson (6) 
12,Elliott (8) ,Fábio Vieira (10) ,Henry (7) ,Coady (9) ,Grealish (12) ,N.Williams (5) ,Elliott (6) ,Bazunu (6) ,Lucas Moura (2) ,Mount (14) ,Struijk (6) ,Calvert-Lewin (0) 
13,Almirón (7) ,Willock (10) ,Akanji (7) ,Edouard (6) ,Ward-Prowse (11) ,Romero (5) ,Ward (4) ,Hickey (4) ,Laporte (0) ,Bamford (9) ,Collins (6) ,
14,Bowen (6) ,Guéhi (7) ,Pulisic (5) ,Daka (5) ,Dalot (10) ,Jiménez (5) ,Lamptey (3) ,Fred (2) ,Maguire (-1) ,Walker-Peters (8) ,Scamacca (5) ,
15,Paquetá (5) ,Gibbs-White (7) ,Wood (3) ,Dasilva (4) ,Wilson (8) ,Fofana (4) ,Tomiyasu (2) ,McGinn (2) ,,Kilman (6) ,Chalobah (2) ,
16,Malacia (5) ,Olise (6) ,Nketiah (2) ,Rice (4) ,Bruno Guimarães (7) ,Coutinho (3) ,Castagne (2) ,Thiago (1) ,,Dele (2) ,Kilman (1) ,
17,Grealish (4) ,Damsgaard (3) ,Thiago (2) ,Matip (2) ,Højbjerg (7) ,Johnson (3) ,Dunk (1) ,Diogo Jota (1) ,,Pickford (2) ,Keita (0) ,
18,McNeil (4) ,Digne (2) ,Undav (1) ,Tierney (2) ,Tierney (6) ,Bailey (3) ,Smith Rowe (1) ,,,Shaw (0) ,Reguilón (0) ,
19,Bruno Guimarães (4) ,Daka (2) ,Renan Lodi (0) ,Zouma (2) ,Alexander-Arnold (4) ,Tierney (1) ,Carvalho (1) ,,,Andersen (0) ,,
20,Neto (4) ,Broja (2) ,Sinisterra (-2) ,Leno (1) ,Botman (3) ,Cash (1) ,Aké (1) ,,,Malacia (-2) ,,
21,Alexander-Arnold (3) ,Mitrović (2) ,,Cash (1) ,Almirón (3) ,Doherty (1) ,Maupay (0) ,,,,,
22,Van Dijk (3) ,Webster (1) ,,Mateta (1) ,Arrizabalaga (2) ,,Lindelöf (0) ,,,,,
23,Bernardo (2) ,,,Aaronson (1) ,Havertz (2) ,,,,,,,
24,Mount (1) ,,,Kilman (1) ,,,,,,,,
25,Mykolenko (1) ,,,Webster (0) ,,,,,,,,
26,Joelinton (1) ,,,,,,,,,,,
27,R.Sessegnon (1) ,,,,,,,,,,,
28,Dennis (1) ,,,,,,,,,,,
29,Tsimikas (0) ,,,,,,,,,,,
30,Botman (0) ,,,,,,,,,,,
