Gameweek,1,2,3,4,5,6,7,8,9,10
Bill,37,56,79,119,149,171,171,186,203,247
Daniel,54,87,119,151,173,216,216,260,296,319
Subham,35,73,110,140,181,231,231,265,290,313
Siddhant,32,67,111,161,214,255,255,292,338,352
Danny,52,98,151,209,248,287,287,346,381,425
Thomas,41,69,108,158,214,246,246,277,314,328
Jia Hong,21,43,64,93,127,166,166,186,210,228
Denis,40,86,140,191,210,231,231,251,272,280
Dhananjay,30,79,119,151,185,211,211,247,284,303
arjun,45,90,143,176,198,247,247,264,308,325
Nathan,30,58,101,138,163,198,198,218,268,288
Justin,19,63,96,152,182,210,210,219,275,289
